Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from {fd}
Compute Ranks
Output Ranks
0 (0.006307956270062908, 'LAX') Los Angeles Intl, United States
1 (0.00630334769169916, 'ORD') Chicago Ohare Intl, United States
2 (0.006048952851962831, 'DEN') Denver Intl, United States
3 (0.005182725923637167, 'LHR') Heathrow, United Kingdom
4 (0.0050191424439931095, 'CDG') Charles De Gaulle, France
5 (0.0049167304432239795, 'PEK') Capital Intl, China
6 (0.004897195482549478, 'FRA') Frankfurt Main, Germany
7 (0.004750088041636222, 'ATL') Hartsfield Jackson Atlanta Intl, United States
8 (0.004749608945229017, 'SIN') Changi Intl, Singapore
9 (0.004510204577474782, 'JFK') John F Kennedy Intl, United States
10 (0.004506220399227033, 'AMS') Schiphol, Netherlands
11 (0.004186314339664533, 'DFW') Dallas Fort Worth Intl, United States
12 (0.0040615870118095015, 'SYD') Sydney Intl, Australia
13 (0.004036851152784379, 'ICN') Incheon Intl, South Korea
14 (0.004003309490881213, 'YYZ') Lester B Pearson Intl, Canada
15 (0.003975018595093234, 'DXB') Dubai Intl, United Arab Emirates
16 (0.003931024203701042, 'BCN') Barcelona, Spain
17 (0.0039103726254863, 'DME') Domododevo, Russia
18 (0.003876640475724625, 'PVG') Pudong, China
19 (0.003670623293974854, 'IST') Ataturk, Turkey
20 (0.003667451531864245, 'HKG') Hong Kong Intl, Hong Kong
21 (0.003494026575251354, 'FCO') Fiumicino, Italy
22 (0.003428418742835642, 'MUC') Franz Josef Strauss, Germany
23 (0.0033407972894749505, 'BKK') Suvarnabhumi Intl, Thailand
24 (0.0032919110984182104, 'MIA') Miami Intl, United States
25 (0.003269753618598689, 'MAD') Barajas, Spain
26 (0.003237260132686933, 'SFO') San Francisco Intl, United States
27 (0.003217658341310165, 'VIE') Schwechat, Austria
28 (0.003138223666468212, 'NRT') Narita Intl, Japan
29 (0.0030915089385977683, 'IAH') George Bush Intercontinental, United States
30 (0.003089138603151532, 'KUL') Kuala Lumpur Intl, Malaysia
31 (0.0030726842778478363, 'MEX') Licenciado Benito Juarez Intl, Mexico
